Comune,Provincia,Regione,Codice isil,Denominazione,Tipologia funzionale,Denominazione ente,Tipologia amministrativa
84001,84,19,IT-AG0001,Biblioteca della Soprintendenza per i beni culturali e ambientali Pirro Marconi,Specializzata,Regione siciliana. Soprintendenza per i beni culturali e ambientali,Regione
84001,84,19,IT-AG0005,Biblioteca dell'Archivio di Stato di Agrigento,Specializzata,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Agrigento,Direzione generale per gli archivi
84001,84,19,IT-AG0006,Biblioteca del Seminario vescovile,Specializzata,Seminario vescovile,Enti ecclesiastici
84001,84,19,IT-AG0007,Biblioteca comunale Franco La Rocca,Importante non specializzata,Comune di Agrigento,Comune
84001,84,19,IT-AG0008,Biblioteca comunale Santo Spirito. Sezione esterna di Giardina Gallotti,Pubblica,Comune di Agrigento,Comune
84003,84,19,IT-AG0010,Biblioteca comunale,Pubblica,Comune d'Aragona,Comune - Istituzione comunale
84004,84,19,IT-AG0011,Biblioteca comunale,Pubblica,Comune di Bivona,Comune
84007,84,19,IT-AG0012,Biblioteca comunale,Pubblica,Comune di Caltabellotta,Comune
84009,84,19,IT-AG0014,Biblioteca comunale,Pubblica,Comune di Cammarata,Comune
84013,84,19,IT-AG0016,Biblioteca comunale,Pubblica,Comune di Castrofilippo,Comune
84014,84,19,IT-AG0017,Biblioteca comunale,Pubblica,Comune di Cattolica Eraclea,Comune
84015,84,19,IT-AG0018,Biblioteca comunale Alessio Di Giovanni,Pubblica,Comune di Cianciana,Comune
84016,84,19,IT-AG0019,Biblioteca comunale,Pubblica,Comune di Comitini,Comune
84017,84,19,IT-AG0022,Biblioteca comunale Barone Antonio Mendola,Pubblica,Comune di Favara,Comune
84018,84,19,IT-AG0024,Biblioteca comunale Martin Luther King,Importante non specializzata,Comune di Grotte,Comune
84019,84,19,IT-AG0025,Biblioteca comunale,Pubblica,Comune di Joppolo Giancaxio,Comune
84022,84,19,IT-AG0027,Biblioteca comunale Piersanti Mattarella,Pubblica,Comune di Lucca Sicula,Comune
84023,84,19,IT-AG0029,Istituzione Culturale Federico II,Importante non specializzata,Comune di Menfi,Comune
84024,84,19,IT-AG0030,Biblioteca comunale Antonio Gramsci,Pubblica,Comune di Montallegro,Comune
84026,84,19,IT-AG0031,Biblioteca comunale Feliciana,Importante non specializzata,Comune di Naro,Comune
84032,84,19,IT-AG0033,Biblioteca comunale,Pubblica,Comune di Realmonte,Comune
84034,84,19,IT-AG0034,Biblioteca comunale Vincenzo Navarro,Importante non specializzata,Comune di Sambuca di Sicilia,Comune
84035,84,19,IT-AG0036,Biblioteca comunale,Pubblica,Comune di San Biagio Platani,Comune
84036,84,19,IT-AG0037,Biblioteca comunale,Pubblica,Comune di San Giovanni Gemini,Comune
84039,84,19,IT-AG0038,Biblioteca comunale,Pubblica,Comune di Sant'Angelo Muxaro,Comune
84038,84,19,IT-AG0039,Biblioteca comunale,Pubblica,Comune di Santa Margherita di Belice,Comune
84040,84,19,IT-AG0040,Biblioteca comunale G. Ansalone,Pubblica,Comune di Santo Stefano Quisquina,Comune
84041,84,19,IT-AG0042,Biblioteca comunale Tommaso Fazello,Importante non specializzata,Comune di Sciacca,Comune
84043,84,19,IT-AG0043,Biblioteca comunale Giuseppe Antonio Musso,Pubblica,Comune di Villafranca Sicula,Comune
84001,84,19,IT-AG0044,Biblioteca comunale Santo Spirito. Sezione esterna di Montaperto,Pubblica,Comune di Agrigento,Comune
84001,84,19,IT-AG0045,Biblioteca comunale Santo Spirito. Sezione esterna di Villaseta,Pubblica,Comune di Agrigento,Comune
84002,84,19,IT-AG0051,Biblioteca comunale Falcone - Borsellino,Pubblica,Comune di Alessandria della Rocca,Comune
84003,84,19,IT-AG0053,Biblioteca comunale,Pubblica,Comune di Aragona,Comune
84011,84,19,IT-AG0058,Biblioteca comunale,Pubblica,Comune di Canicatti',Comune
84012,84,19,IT-AG0060,Biblioteca comunale,Pubblica,Comune di Casteltermini,Comune
84025,84,19,IT-AG0064,Biblioteca comunale,Importante non specializzata,Comune di Montevago,Comune
84027,84,19,IT-AG0065,Biblioteca comunale Giovanni Falcone,Importante non specializzata,Comune di Palma di Montechiaro,Comune
84028,84,19,IT-AG0066,Biblioteca comunale,Pubblica,Comune di Porto Empedocle,Comune
84029,84,19,IT-AG0067,Biblioteca comunale,Pubblica,Comune di Racalmuto,Comune
84029,84,19,IT-AG0068,Biblioteca popolare Virtus Matrice,Pubblica,Chiesa Madre di Racalmuto,Enti ecclesiastici
84030,84,19,IT-AG0069,Biblioteca comunale,Pubblica,Comune di Raffadali,Comune
84031,84,19,IT-AG0070,Biblioteca comunale,Pubblica,Comune di Ravanusa,Comune
84033,84,19,IT-AG0071,Biblioteca comunale Antonio Gramsci,Pubblica,Comune di Ribera,Comune
84037,84,19,IT-AG0072,Biblioteca comunale,Pubblica,Comune di Santa Elisabetta,Comune
84001,84,19,IT-AG0078,Biblioteca della Provincia regionale di Agrigento,Specializzata,Provincia di Agrigento,Provincia
84001,84,19,IT-AG0079,Biblioteca comunale Santo Spirito. Sezione esterna di Fontanelle,Pubblica,Comune di Agrigento,Comune
84001,84,19,IT-AG0085,Biblioteca Lucchesiana,Importante non specializzata,Deputazione dei canonici della biblioteca Lucchesiana,Accademie
84001,84,19,IT-AG0087,Biblioteca dell'Opera Pia Villa Betania,Pubblica,Opera Pia Villa Betania,Accademie
84021,84,19,IT-AG0089,Biblioteca comunale L. Vitali,Importante non specializzata,Comune di Licata,Comune
84010,84,19,IT-AG0090,Biblioteca comunale,Pubblica,Comune di Campobello di Licata,Comune
84001,84,19,IT-AG0091,Biblioteca Museo Luigi Pirandello,Specializzata,Regione siciliana,Regione
84017,84,19,IT-AG0092,Biblioteca della Comunità Cristiani nel mondo,NON SPECIFICATA,0,NON SPECIFICATA
84029,84,19,IT-AG0093,Biblioteca della Fondazione Leonardo Sciascia,Specializzata,Fondazione Leonardo Sciascia,Accademie
84001,84,19,IT-AG0094,Biblioteca Verba volant,Scolastica,Ministero dell'istruzione,Presidenza del consiglio dei ministri e ministeri
84001,84,19,IT-AG0095,Biblioteca dell'Istituto Comprensivo Anna Frank,Scolastica,Ministero dell'istruzione,Presidenza del consiglio dei ministri e ministeri
84001,84,19,IT-AG0096,Biblioteca del Circolo didattico S.G. Bosco,NON SPECIFICATA,0,NON SPECIFICATA
84001,84,19,IT-AG0097,Biblioteca dell'Istituto professionale per i servizi commerciali e turistici Nicolò Gallo,Scolastica,Ministero dell'istruzione,Presidenza del consiglio dei ministri e ministeri
84008,84,19,IT-AG0098,Biblioteca comunale,Pubblica,Comune di Camastra,Comune
84011,84,19,IT-AG0099,Biblioteca della Fondazione Giovanni Guarino Amella,Specializzata,Fondazione Giovanni Guarino Amella,Accademie
84001,84,19,IT-AG0134,Biblioteca del Polo didattico di Agrigento. Università degli studi di Palermo,Istituto di insegnamento superiore,Università degli studi di Palermo,Universita' statali
6001,6,1,IT-AL0001,Biblioteca civica,Pubblica,Comune di Acqui Terme,Comune
6003,6,1,IT-AL0002,Biblioteca civica Francesca Calvo,Importante non specializzata,Comune di Alessandria,Comune
6003,6,1,IT-AL0003,Biblioteca dell'Archivio di Stato di Alessandria,Specializzata,Ministero dei beni e delle attività culturali e del turismo. Archivio di Stato di Alessandria,Direzione generale per gli archivi
6003,6,1,IT-AL0004,Biblioteca storica diocesana del Seminario vescovile,Importante non specializzata,Seminario Diocesano,Enti ecclesiastici
6003,6,1,IT-AL0006,Biblioteca delle Societa' di storia arte e archeologia per le province di Alessandria e Asti,Specializzata,Societa' di storia,Accademie
